OA11CD,num_prems_jan22,pct_non_USO_jan22,pct_non_GWB_jan22,pct_gig_cap_jan22,pct_fwa_cap_jan22,num_non_USO_jan22,num_non_GWB_jan22,num_gig_cap_jan22,num_fwa_cap_jan22,num_prems_sep21,pct_non_USO_sep21,pct_non_GWB_sep21,pct_gig_cap_sep21,pct_fwa_cap_sep21,num_non_USO_sep21,num_non_GWB_sep21,num_gig_cap_sep21,num_fwa_cap_sep21,num_prems_may21,pct_non_USO_may21,pct_non_GWB_may21,pct_gig_cap_may21,pct_fwa_cap_may21,num_non_USO_may21,num_non_GWB_may21,num_gig_cap_may21,num_fwa_cap_may21,num_prems_jan21,pct_non_USO_jan21,pct_non_GWB_jan21,pct_gig_cap_jan21,pct_fwa_cap_jan21,num_non_USO_jan21,num_non_GWB_jan21,num_gig_cap_jan21,num_fwa_cap_jan21,RGN11NM,LAD17NM,LSOA11CD,Ward,country
E00042042,126.0,0.0,0.0,90.5,0.0,0.0,0.0,114.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008289,Benwell & Scotswood,E
E00042050,145.0,0.0,0.0,97.9,0.0,0.0,0.0,142.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008289,Benwell & Scotswood,E
E00042053,132.0,0.0,0.0,97.7,0.0,0.0,0.0,129.0,0.0,132.0,0.0,0.0,16.7,0.0,0.0,0.0,22.0,0.0,132.0,0.0,0.0,16.7,0.0,0.0,0.0,22.0,0.0,132.0,0.0,0.0,16.7,0.0,0.0,0.0,22.0,0.0,North East,Newcastle upon Tyne,E01008289,Benwell & Scotswood,E
E00042056,121.0,0.0,0.0,46.3,0.0,0.0,0.0,56.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008289,Benwell & Scotswood,E
E00042057,141.0,0.0,9.9,87.9,0.0,0.0,14.0,124.0,0.0,141.0,0.0,9.9,6.4,0.0,0.0,14.0,9.0,0.0,141.0,0.0,9.9,6.4,0.0,0.0,14.0,9.0,0.0,141.0,0.0,5.7,6.4,0.0,0.0,8.0,9.0,0.0,North East,Newcastle upon Tyne,E01008289,Benwell & Scotswood,E
E00042043,146.0,0.0,0.0,100.0,0.0,0.0,0.0,146.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008292,Benwell & Scotswood,E
E00042048,139.0,0.0,0.0,98.6,0.0,0.0,0.0,137.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008292,Benwell & Scotswood,E
E00042049,144.0,0.0,0.0,100.0,0.0,0.0,0.0,144.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008292,Benwell & Scotswood,E
E00042051,125.0,0.0,0.0,99.2,0.0,0.0,0.0,124.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008292,Benwell & Scotswood,E
E00042044,129.0,0.0,0.0,100.0,0.0,0.0,0.0,129.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008288,Benwell & Scotswood,E
E00042052,212.0,0.0,0.0,67.9,0.0,0.0,0.0,144.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008288,Benwell & Scotswood,E
E00042054,143.0,0.0,0.0,100.0,0.0,0.0,0.0,143.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008288,Benwell & Scotswood,E
E00042055,144.0,0.0,0.0,97.9,0.0,0.0,0.0,141.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008288,Benwell & Scotswood,E
E00042058,42.0,0.0,0.0,92.9,0.0,0.0,0.0,39.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008288,Benwell & Scotswood,E
E00042045,122.0,0.0,0.0,97.5,0.0,0.0,0.0,119.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008290,Benwell & Scotswood,E
E00042059,139.0,0.0,0.0,99.3,0.0,0.0,0.0,138.0,0.0,139.0,0.0,0.0,20.9,0.0,0.0,0.0,29.0,0.0,139.0,0.0,0.0,12.9,0.0,0.0,0.0,18.0,0.0,139.0,0.0,0.0,12.9,0.0,0.0,0.0,18.0,0.0,North East,Newcastle upon Tyne,E01008290,Benwell & Scotswood,E
E00042065,195.0,0.0,0.0,67.7,0.0,0.0,0.0,132.0,0.0,195.0,0.0,0.0,67.7,0.0,0.0,0.0,132.0,0.0,195.0,0.0,0.0,50.6,0.0,0.0,0.0,99.0,0.0,201.0,0.0,0.0,48.3,0.0,0.0,0.0,97.0,0.0,North East,Newcastle upon Tyne,E01008290,Benwell & Scotswood,E
E00175597,328.0,1.8,2.4,95.1,0.0,6.0,8.0,312.0,0.0,328.0,2.1,2.4,0.0,0.0,7.0,8.0,0.0,0.0,327.0,2.7,3.0,0.0,0.0,9.0,10.0,0.0,0.0,327.0,2.7,3.4,0.0,0.0,9.0,11.0,0.0,0.0,North East,Newcastle upon Tyne,E01008290,Benwell & Scotswood,E
E00042046,153.0,0.0,0.0,87.6,0.0,0.0,0.0,134.0,0.0,153.0,0.0,0.0,74.5,0.0,0.0,0.0,114.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North East,Newcastle upon Tyne,E01008291,Elswick,E
